"estimateID"	"estimator"	"studyID"	"groupID"	"sex"	"common.name"	"phylum"	"class"	"order"	"fam"	"genus"	"species"	"enrich"	"capt.gens"	"scope"	"strategy"	"n1i"	"m1i"	"sd1i"	"n2i"	"m2i"	"sd2i"	"A"	"C"	"B"	"D"	"PrintYear"	"enrich.present"	"capt.present"	"enrich.bin"	"capt.bin"
76	"SMD"	13	41	"Mixed"	"Puaiohi"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	"Myadestes"	"palmeri"	-1	1.5	"Reproduction"	"ISR"	39	2	0	16	2	1.6	NA	NA	NA	NA	2006	0	1	0	1
939	"SMD"	151	479	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	56	1	0	44	0.9998	0.000338431	NA	NA	NA	NA	2012	0	1	0	0
1046	"SMD"	172	523	"Mixed"	"Three-ridge"	"Mollusca"	"Bivalvia"	"Unionoidea"	"Unionidae"	"Amblema"	"plicata"	-1	0	"Survival"	"ESR"	40	1.0029515	0	40	0.9938653	0.342829478	NA	NA	NA	NA	2017	0	1	0	0
940	"SMD"	151	479	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	49	0.9993	0.000357143	60	0.9994	0.000395202	NA	NA	NA	NA	2012	0	1	0	0
941	"SMD"	151	479	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	54	0.9999	0.000374922	39	1	0	NA	NA	NA	NA	2012	0	1	0	0
942	"SMD"	151	479	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	54	0.9999	0.000374922	11	1	0	NA	NA	NA	NA	2012	0	1	0	0
943	"SMD"	151	479	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	16	0.9996	0.001428571	25	0.9998	0.000255102	NA	NA	NA	NA	2012	0	1	0	0
911	"SMD"	150	476	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	73	-0.02606079	0.00607361	55	-0.04925185	0.186357906	NA	NA	NA	NA	2016	0	1	0	0
136	"SMD"	18	80	"Male"	"Alpine tree frog"	"Chordata"	"Amphibia"	"Anura"	"Hylidae"	"Litoria"	"verreauxii"	-1	0.5	"Constitution"	"ISR"	403	0.07	0.01	80	0.07	0.01	NA	NA	NA	NA	2016	0	1	0	1
30	"SMD"	4	17	"Mixed"	"Queen conch"	"Mollusca"	"Gastropoda"	"Littorinimorpha"	"Strombidae"	"Strombus"	"gigas"	-1	0.5	"Growth"	"ISR"	100	0.1	0.02	100	0.05	0.04	NA	NA	NA	NA	1994	0	1	0	1
38	"SMD"	4	21	"Mixed"	"Queen conch"	"Mollusca"	"Gastropoda"	"Littorinimorpha"	"Strombidae"	"Strombus"	"gigas"	-1	0.5	"Growth"	"ISR"	28	0.03	0.02	31	0.02	0.02	NA	NA	NA	NA	1994	0	1	0	1
138	"SMD"	18	81	"Female"	"Alpine tree frog"	"Chordata"	"Amphibia"	"Anura"	"Hylidae"	"Litoria"	"verreauxii"	-1	0.5	"Constitution"	"ISR"	36	0.13	0.02	15	0.08	0.02	NA	NA	NA	NA	2016	0	1	0	1
155	"SMD"	21	90	"Female"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	1.5	"Reproduction"	"ISR"	201	0.2	0.02	31	0.21	0.02	NA	NA	NA	NA	2008	0	1	0	1
162	"SMD"	21	91	"Female"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	1.5	"Reproduction"	"ISR"	238	0.2	0.02	68	0.2	0.02	NA	NA	NA	NA	2008	0	1	0	1
169	"SMD"	21	92	"Female"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	1.5	"Reproduction"	"ISR"	163	0.2	0.02	31	0.18	0.03	NA	NA	NA	NA	2008	0	1	0	1
34	"SMD"	4	19	"Mixed"	"Queen conch"	"Mollusca"	"Gastropoda"	"Littorinimorpha"	"Strombidae"	"Strombus"	"gigas"	-1	0.5	"Growth"	"ISR"	100	0.09	0.03	100	0.07	0.03	NA	NA	NA	NA	1994	0	1	0	1
271	"SMD"	38	149	"Male"	"Least weasel"	"Chordata"	"Mammalia"	"Carnivora"	"Mustelidae"	"Mustela"	"nivalis"	-1	1.5	"Survival"	"ISR"	6	0.98	0.04	15	0.91	0.13	NA	NA	NA	NA	2005	0	1	0	1
912	"SMD"	150	476	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	73	-0.02745408	0.043855325	55	-0.04900686	0.185430919	NA	NA	NA	NA	2016	0	1	0	0
739	"SMD"	124	369	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	30	0.24	0.05	60	0.24	0.07	NA	NA	NA	NA	2019	0	0	0	0
741	"SMD"	124	371	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	5	0.18	0.05	28	0.22	0.07	NA	NA	NA	NA	2019	0	0	0	0
222	"SMD"	30	121	"Mixed"	"North Africa Houbara"	"Chordata"	"Aves"	"Otidiformes"	"Otididae"	"Chlamydotis"	"undulata"	1	5.5	"Survival"	"ISR"	575	0.99	0.06	273	0.99	0.06	NA	NA	NA	NA	2019	1	1	1	2
